# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL
glycerol-3-phosphate to fumarate electron transfer|PWY0-1582|||0.27885687|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1582
NADH to cytochrome bd oxidase electron transfer II|PWY0-1568|||0.2825233|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1568
alanine racemization|PWY-8072|||0.2825233|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8072
long-chain fatty acid activation|PWY-5143|||0.2825233|6.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5143
pyruvate fermentation to (R)-lactate|PWY-8274|Pyruvate Fermentation to Lactate|Pyruvate-Lactate-Fermentation|0.2825233|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8274
4-aminobutanoate degradation I|PWY-6535|4-Aminobutanoate Degradation|4-Aminobutyraye-Degradation|0.29237363|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6535
protein S-nitrosylation and denitrosylation|PWY-7798|||0.29333335|0.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7798
diphenyl ethers degradation|PWY-7747|||0.29333335|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7747
1-(sn-glycero-3-phospho)-1D-myo-inositol biosynthesis|PWY-8430|||0.29333335|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8430
heptadecane biosynthesis|PWY-6622|||0.29333335|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6622
2,3-dihydroxybenzoate biosynthesis|PWY-5901|||0.29333335|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5901
melamine degradation|PWY-5170|||0.29333335|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5170
limonene degradation III (to perillate)|PWY-6526|||0.29333335|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6526
5-(methoxycarbonylmethoxy)uridine biosynthesis|PWY0-1554|||0.29333335|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1554
thymine degradation|PWY-6430|||0.29333335|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6430
mannosylglucosylglycerate biosynthesis I|PWY-6686|Mannosylglucosylglycerate Biosynthesis|Mannosylglucosylglycerate-Biosynthesis|0.29333335|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6686
allantoin degradation to ureidoglycolate II (ammonia producing)|PWY-5698|Allantoin Degradation|Allantoin-degradation|0.29333335|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5698
bis(guanylyl molybdopterin) cofactor sulfurylation|PWY-8164|||0.29333335|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8164
uracil degradation I (reductive)|PWY-3982|beta Alanine Biosynthesis|Beta-Alanine-Biosynthesis|0.29333335|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3982
creatinine degradation I|CRNFORCAT-PWY|Creatinine Degradation|Creatinine-Degradation|0.30049047|2.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=CRNFORCAT-PWY
N-acetylglucosamine degradation I|GLUAMCAT-PWY|N-acetylglucosamine degradation|N-Acetylglucosamine-Degradation|0.30224258|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUAMCAT-PWY
autoinducer AI-2 biosynthesis I|PWY-6153|||0.3063079|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6153
heme b biosynthesis II (oxygen-independent)|HEMESYN2-PWY|Heme b Biosynthesis|Heme-b-Biosynthesis|0.31606212|1.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=HEMESYN2-PWY
dipyrromethane cofactor biosynthesis|PWY-8159|||0.31735414|0.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8159
D-gluconate degradation|GLUCONSUPER-PWY|||0.32196188|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUCONSUPER-PWY
nitrate reduction IX (dissimilatory)|PWY0-1581|Nitrate Reduction|Nitrate-Reduction|0.32196188|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1581
UDP-N-acetyl-D-galactosamine biosynthesis I|PWY-5512|UDP-N-acetyl-D-galactosamine Biosynthesis|UDP-Nac-Galactosamine-Biosynthesis|0.32196188|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5512
L-ornithine degradation I (L-proline biosynthesis)|ORN-AMINOPENTANOATE-CAT-PWY|L-proline Biosynthesis|PROLINE-SYN|0.32196188|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ORN-AMINOPENTANOATE-CAT-PWY
glucose degradation (oxidative)|DHGLUCONATE-PYR-CAT-PWY|||0.3257847|1.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=DHGLUCONATE-PYR-CAT-PWY
fatty acid biosynthesis initiation (type II)|PWY-4381|Fatty Acid Biosynthesis Initiation|Fatty-Acid-Biosyn-Initiation|0.3268874|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4381
tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate|PWY-6613|Folate Biosynthesis|Folate-Biosynthesis|0.32815382|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6613
NAD phosphorylation and transhydrogenation|NADPHOS-DEPHOS-PWY-1|||0.33726066|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=NADPHOS-DEPHOS-PWY-1
sulfate activation for sulfonation|PWY-5340|||0.33726066|7.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5340
guanine and guanosine salvage I|PWY-6620|Guanine and Guanosine Salvage|Guanine-Guanosine-Salvage|0.34296212|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6620
glycine betaine biosynthesis I (Gram-negative bacteria)|BETSYN-PWY|Betaine Biosynthesis|Betaine-Biosynthesis|0.3528311|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=BETSYN-PWY
choline degradation I|CHOLINE-BETAINE-ANA-PWY|Choline Degradation|Choline-Degradation|0.3528311|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=CHOLINE-BETAINE-ANA-PWY
gallate degradation II|GALLATE-DEGRADATION-I-PWY|Gallate Degradation|GALLATE-DEG|0.3575|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=GALLATE-DEGRADATION-I-PWY
peptidoglycan maturation (meso-diaminopimelate containing)|PWY0-1586|Peptidoglycan Biosynthesis|Peptidoglycan-Biosynthesis|0.36666667|2.3333333|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1586
thiamine diphosphate biosynthesis II (Bacillus)|PWY-6893|Thiamine Diphosphate Biosynthesis|Thiamin-Diphosphate-Biosynthesis|0.37255037|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6893
guanosine deoxyribonucleotides de novo biosynthesis I|PWY-7226|Guanosine Deoxyribonucleotide De Novo Biosynthesis|Guanosine-Deoxy-Denovo-Biosynthesis|0.37255037|5.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7226
adenosine deoxyribonucleotides de novo biosynthesis I|PWY-7227|Adenosine Deoxyribonucleotide De Novo Biosynthesis|Adenosine-Deoxy-Denovo-Bbiosynthesis|0.37255037|5.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7227
pyrimidine deoxyribonucleotides dephosphorylation|PWY-7206|||0.38750777|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7206
biotin-carboxyl carrier protein assembly|PWY0-1264|||0.38750777|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1264
trans, trans-farnesyl diphosphate biosynthesis|PWY-5123|All-Trans-Farnesyl-PP-Biosynthesis|All-Trans-Farnesyl-PP-Biosynthesis|0.39534605|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5123
L-citrulline degradation|CITRULLINE-DEG-PWY|||0.40083554|0.6666667|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=CITRULLINE-DEG-PWY
L-tyrosine biosynthesis III|PWY-6120|L-tyrosine Biosynthesis|TYROSINE-SYN|0.41853696|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6120
NAD salvage pathway III (to nicotinamide riboside)|NAD-BIOSYNTHESIS-II|NAD Biosynthesis|NAD-SYN|0.41855407|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=NAD-BIOSYNTHESIS-II
superoxide radicals degradation|DETOX1-PWY|||0.42313886|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=DETOX1-PWY
bis(guanylyl molybdenum cofactor) biosynthesis|PWY-7639|||0.42313886|0.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7639
acyl carrier protein activation|PWY-6012-1|||0.42313886|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6012-1
fatty acid beta-oxidation III (unsaturated, odd number)|PWY-5137|||0.42313886|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5137
gamma-butyrobetaine degradation II|PWY-3621|gamma-butyrobetaine degradation|Gamma-butyrobetaine-Degradation|0.42313886|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3621
D-malate degradation|PWY0-1465|||0.42313886|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1465
UDP-alpha-D-glucuronate biosynthesis (from UDP-glucose)|PWY-7346|||0.42313886|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7346
