#
#  halomonas_cubes_take2cyc 1.0 Pathways link table generated on Wed Sep 13, 2023
#
PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	
PWY-5662	glucosylglycerate biosynthesis I	
PWY-5155	&beta;-alanine biosynthesis III	
PANTOSYN-PWY	superpathway of coenzyme A biosynthesis I (bacteria)	
GLYSYN-PWY	glycine biosynthesis I	
GLYSYN-ALA-PWY	glycine biosynthesis III	
PWY-5170	melamine degradation	
PWY-7343	UDP-&alpha;-D-glucose biosynthesis	UDP-D-glucose biosynthesis
PWY-6826	phosphatidylcholine biosynthesis VI	PCS pathway
PWY-8173	<i>anteiso</i>-branched-chain fatty acid biosynthesis	
GALDEG-PWY	D-galactose degradation II	De Ley-Doudoroff pathway
PYRIDNUCSYN-PWY	NAD <i>de novo</i> biosynthesis I	nicotinamide adenine dinucleotide biosynthesis
PWY-8283	lipid IV<sub>A</sub> biosynthesis (generic)	lipid-A-precursor biosynthesis (generic)
PWY-2161	folate polyglutamylation	
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	protocatechuate branch of the 3-oxoadipate pathway	protocatechuate branch of the 3-ketoadipate pathway	protocatechuate branch of the &beta;-ketoadipate pathway	protocatechuate degradation via ortho-cleavage	protocatechuate degradation via the &beta;-ketoadipate pathway	protocatechuate 3,4-cleavage
PWY-6952	glycerophosphodiester degradation	
PWY-8245	lipid IV<sub>A</sub> biosynthesis (<i>P. gingivalis</i>)	lipid-A-precursor biosynthesis (<i>P. gingivalis</i>)
PWY2G6Z-2	lipid IV<sub>A</sub> biosynthesis (<i>Vibrio cholerae</i> serogroup O1 El Tor)	
PYRIDNUCSAL-PWY	NAD salvage pathway I (PNC VI cycle)	pyridine nucleotide cycling	nicotinamide adenine dinucleotide salvage
PWY-8073	lipid IV<sub>A</sub> biosynthesis (<i>P. putida</i>)	lipid-A-precursor biosynthesis (<i>P. putida</i>)
GLUTAMINEFUM-PWY	L-glutamine degradation II	
PWY-6899	base-degraded thiamine salvage	formylaminopyrimidine salvage	base-degraded thiamin salvage
PWYI-14	lipid IV<sub>A</sub> biosynthesis (<i>H. pylori</i>)	lipid-A-precursor biosynthesis
PWY-6390	(<i>S,S</i>)-butanediol biosynthesis	(<i>S,S</i>)-butylene glycol fermentation	(<i>S,S</i>)-butanediol fermentation	(<i>S</i>)-acetoin degradation
GLUTATHIONESYN-PWY	glutathione biosynthesis	
PWY-7970	benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	
PWY-6388	(S,S)-butanediol degradation	(S,S)-butylene-glycol degradation
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	
PWY-6753	<i>S</i>-methyl-5'-thioadenosine degradation III	methylthioadenosine degradation III
UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis
PWY-5509	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	
ORN-AMINOPENTANOATE-CAT-PWY	L-ornithine degradation I (L-proline biosynthesis)	
PWY-5659	GDP-mannose biosynthesis	
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	
PWY0-1582	glycerol-3-phosphate to fumarate electron transfer	
PWY-6535	4-aminobutanoate degradation I	&gamma;-amino-butyrate shunt	GABA degradation	4-aminobutyrate degradation I	4-aminobutanoic acid degradation I
PWY0-1391	<i>S</i>-methyl-5'-thioadenosine degradation IV	methylthioadenosine degradation IV
PWY-8277	NAD <i>de novo</i> biosynthesis IV (anaerobic)	nicotinamide adenine dinucleotide biosynthesis
PWY-6614	tetrahydrofolate biosynthesis I	folic acid biosynthesis I	folate biosynthesis I	THF biosynthesis I
PWY-7675	Kdo transfer to lipid IV<sub>A</sub> (<i>Haemophilus</i>)	
GALLATE-DEGRADATION-I-PWY	gallate degradation II	
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation	
PWY-5143	long-chain fatty acid activation	long-chain acyl-CoA synthetase pathway
PWY0-1477	ethanolamine utilization	
PWY-7847	heme degradation VI	
PWY-8075	(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>P. putida</i>)	
PWY-7862	D-altritol and galactitol degradation	
PWY-8002	4-coumarate degradation (aerobic)	<i>p</i>-coumarate degradation (aerobic)
PWY0-1465	D-malate degradation	
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	palmitoleic acid biosynthesis I	palmitoleate biosynthesis (anaerobic)
COA-PWY	coenzyme A biosynthesis I (bacteria)	CoA biosynthesis
PWY-5512	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I	
PWY-6599	guanine and guanosine salvage II	
PWY-5668	cardiolipin biosynthesis I	
LIPASYN-PWY	phospholipases	phospholipase pathway
PWY-8105	queuosine biosynthesis II (queuine salvage)	
PWY-6353	purine nucleotides degradation II (aerobic)	purine nucleotides catabolism
PWY-6894	thiamine diphosphate biosynthesis I (E. coli)	vitamin B<sub>1</sub> biosynthesis	thiamin diphosphate biosynthesis I (E. coli)
PWY-7965	2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	adenosyl-factor A biosynthesis from adenosylcobinamide-GDP	<i>Co</i>&alpha;-[a-(2-methyladenin-9-yl)]-<i>Co</i>&beta;-adenosylcobamide biosynthesis from adenosylcobinamide-GDP
GLYOXYLATE-BYPASS	glyoxylate cycle	glyoxylate bypass	glyoxylate shunt
PWY0-1061	superpathway of L-alanine biosynthesis	
PWY-6893	thiamine diphosphate biosynthesis II (Bacillus)	vitamin B<sub>1</sub> biosynthesis II	thiamin diphosphate biosynthesis II (Bacillus)
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff shunt	
PWY-6499	D-glucarate degradation II	
DARABITOLUTIL-PWY	D-arabinitol degradation I	D-arabitol utilization	D-arabitol degradation
PWY-6153	autoinducer AI-2 biosynthesis I	
PWY-6628	superpathway of L-phenylalanine biosynthesis	
TCA	TCA cycle I (prokaryotic)	tricarboxylic acid cycle	citric acid cycle	Krebs cycle	Szent-Gyorgyi-Krebs cycle
PWY-7208	superpathway of pyrimidine nucleobases salvage	
PWY-6497	D-galactarate degradation II	
PWY-3982	uracil degradation I (reductive)	&beta;-alanine biosynthesis
PWY-6164	3-dehydroquinate biosynthesis I	
P101-PWY	ectoine biosynthesis	
AST-PWY	L-arginine degradation II (AST pathway)	L-arginine succinyltransferase pathway	AST pathway	ammonia-producing L-arginine catabolic pathway	L-arginine catabolism
PWY-6041	4-sulfocatechol degradation	
PWY-6151	<i>S</i>-adenosyl-L-methionine salvage I	SAM cycle	activated methyl cycle	AMC	<i>S</i>-adenosyl-L-methionine cycle I
PWY-6317	D-galactose degradation I (Leloir pathway)	Leloir pathway
LEUSYN-PWY	L-leucine biosynthesis	
PWY-6896	thiamine diphosphate salvage I	thiamin salvage I
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	
PWY-7964	adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	<i>Co</i>&alpha;-[a-(adenin-9-yl)]-<i>Co</i>&beta;-adenosylcobamide biosynthesis from adenosylcobinamide-GDP	pseudo-adenosyl cobamide biosynthesis from adenosylcobinamide-GDP
PWY66-21	ethanol degradation II	
PWY-5177	glutaryl-CoA degradation	
PWY-4261	glycerol degradation I	
PWY0-1313	acetate conversion to acetyl-CoA	acetic acid conversion to acetyl-CoA
TRPSYN-PWY	L-tryptophan biosynthesis	
THIOREDOX-PWY	thioredoxin pathway	
PWY-6823	molybdopterin biosynthesis	
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	
PWY-5971	palmitate biosynthesis II (type II fatty acid synthase)	palmitate biosynthesis II (bacteria and plant cytoplasm)
PWY-5886	3-(4-hydroxyphenyl)pyruvate biosynthesis	4-hydroxyphenylpyruvic acid biosynthesis	4-hydroxyphenylpyruvate biosynthesis
PWY-4081	glutathione-peroxide redox reactions	
PWY-7516	L-lyxonate degradation	
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	D-glucarate and D-galactarate catabolism super-pathway	aldarate catabolism
PWY-6622	heptadecane biosynthesis	alkane biosynthesis
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	
PWY-7179	purine deoxyribonucleosides degradation I	
DETOX1-PWY	superoxide radicals degradation	removal of superoxide radicals
PWY-5691	urate conversion to allantoin I	
GLUCONSUPER-PWY	D-gluconate degradation	gluconate utilization
PWY-8328	acetate and ATP formation from acetyl-CoA III	acetic acid formation from acetyl-CoA III
PWY-6519	8-amino-7-oxononanoate biosynthesis I	7-keto-8-aminopelargonate biosynthesis I
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I	biotin biosynthesis from 7-keto-8-aminopelargonate
ALANINE-VALINESYN-PWY	L-alanine biosynthesis I	
PWY0-1479	tRNA processing	
PWY-5755	4-hydroxybenzoate biosynthesis II (bacteria)	<i>p</i>-hydroxybenzoate biosynthesis II
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	
PWY-1781	&beta;-alanine degradation II	
LEU-DEG2-PWY	L-leucine degradation I	
PWY-7806	glyphosate degradation II	
KDO-LIPASYN-PWY	(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>E. coli</i>)	
PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	CMP-Kdo biosynthesis I
NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)	lipid-A-precursor biosynthesis (<i>E. coli</i>)
PWY-8003	<i>trans</i>-caffeate degradation (aerobic)	
PWY-8425	(2<i>S</i>)-ethylmalonyl-CoA biosynthesis	
PWY-6825	phosphatidylcholine biosynthesis V	
SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	
PWY-8164	<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation	sulfo-<i>bis</i>(guanylyl molybdopterin) cofactor biosynthesis	bis-MGD sulfulylation
PWY-7229	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I	
PWY-8292	trimethylamine <i>N</i>-oxide biosynthesis	TMAO biosynthesis
PWY-7279	aerobic respiration II (cytochrome c) (yeast)	
PWY-7242	D-fructuronate degradation	
PWY-3781	aerobic respiration I (cytochrome c)	
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	vitamin H biosynthesis
PWY0-1545	cardiolipin biosynthesis III	
PWY-7344	UDP-&alpha;-D-galactose biosynthesis	UDP-D-galactose biosynthesis
PWY-8165	cytidylyl molybdenum cofactor sulfurylation	sulfo-cytidylyl molybdopterin cofactor biosynthesis	MCD sulfulylation
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	
PWY-702	L-methionine biosynthesis II	L-methionine biosynthesis via <i>O</i>-phospho-homoserine
PWY-6537	4-aminobutanoate degradation II	4-aminobutyrate degradation II	4-aminobutanoic acid degradation II
GALACTCAT-PWY	D-galactonate degradation	D-galactonate catabolism
PWY-5482	pyruvate fermentation to acetate II	pyruvic acid fermentation to acetic acid II
PWY-8285	(Kdo)<sub>2</sub>-lipid A biosynthesis (generic)	
PWY-5025	indole-3-acetate biosynthesis IV (bacteria)	IAA biosynthesis IV (bacteria)	indole-3-acetic acid biosynthesis IV (bacteria)
CYSTSYN-PWY	L-cysteine biosynthesis I	
PWY-5122	geranyl diphosphate biosynthesis	GPP biosynthesis
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	2-oxoglutarate dehydrogenase complex	2-ketoglutarate dehydrogenase complex	2-oxoglutarate dehydrogenase system	2-ketoglutarate dehydrogenase system	&alpha;-ketoglutarate dehydrogenase system
PWY-5870	ubiquinol-8 biosynthesis (late decarboxylation)	ubiquinone-8 biosynthesis (eukaryotic)	ubiquinol-8 biosynthesis (eukaryotic)
PWY-8274	pyruvate fermentation to (<i>R</i>)-lactate	pyruvic acid fermentation to D-lactic acid
