#
#  halomonas_cubes_take2cyc 1.0 Reactions link table generated on Wed Sep 13, 2023
#
RXN-14047	EC-4.2.1.3
R345-RXN	EC-6.3.5.10
RXN-19553	
RXN-21660	EC-1.1.1.100
RXN-17824	EC-2.1.1.63
RXN-16622	EC-1.1.1.100
RXN-21655	EC-1.1.1.100
CREATININASE-RXN	EC-3.5.2.10
RIBOSYLPYRIMIDINE-NUCLEOSIDASE-RXN	EC-3.2.2.8
PHENYLPYRUVATE-DECARBOXYLASE-RXN	EC-4.1.1.43
2.1.1.63-RXN	EC-2.1.1.63
S-ALKYLCYSTEINE-LYASE-RXN	EC-4.4.1.13
MUCONOLACTONE-DELTA-ISOMERASE-RXN	EC-5.3.3.4
RXN-15577	
GCVMULTI-RXN	EC-1.4.1.27
RXN-19562	EC-4.4.1.13
RXN-19561	
RXN-9615	
ASPARTATE-RACEMASE-RXN	EC-5.1.1.13
RXN-19557	
RXN-19558	EC-4.4.1.13
R381-RXN	EC-5.1.3.8
RXN-21250	
RXN-14277	EC-2.3.1.16
RXN-8141	EC-2.7.8.41
RXN-16006	EC-5.1.3.8
CYSTATHIONINE-BETA-LYASE-RXN	EC-4.4.1.13
RXN-15131	
RXN0-7012	EC-2.7.8.41
TRANS-RXN2R0Y-2	
GLUTATHIONE-PEROXIDASE-RXN	EC-1.11.1.9
CARDIOLIPSYN-RXN	EC-2.7.8.41
N-ACYLGLUCOSAMINE-2-EPIMERASE-RXN	EC-5.1.3.8
RXN-12729	EC-4.4.1.13
RXN-15137	
R322-RXN	EC-2.1.1.152
RXN-12613	EC-3.5.99.2
GKI-RXN	EC-2.7.1.165
RXN-2006	EC-2.3.1.16
RXN-19552	EC-4.4.1.13
RXN-19551	
2.1.1.133-RXN	EC-2.1.1.133
THIAMINASE-RXN	EC-3.5.99.2
2.1.1.132-RXN	EC-2.1.1.132
RXN-18328	EC-1.8.1
RXN-13824	
RXN-13826	
TRANS-RXN2R0Y-19	
PYRIMSYN1-RXN	EC-4.1.99.17
HISTONE-ACETYLTRANSFERASE-RXN	EC-2.3.1.48
2.1.1.131-RXN	EC-2.1.1.131
RXN-13617	EC-2.3.1.16
RXN2R0Y-13	
GLYCOLALDREDUCT-RXN	EC-1.1.1.77
RXN-19544	EC-4.4.1.13
2.1.1.130-RXN	EC-2.1.1.130
ACETATEKIN-RXN	EC-2.7.2.15	EC-2.7.2.1
RXN-19545	
PROPKIN-RXN	EC-2.7.2.7	EC-2.7.2.1	EC-2.7.2.15	EC-2.7.2.14
5.4.1.2-RXN	EC-5.4.99.61
TRANS-RXN-336	
PHOSACETYLTRANS-RXN	EC-2.3.1.8
TRANS-RXN-42	
R342-RXN	EC-6.6.1.2
DEOXYRIBOSE-P-ALD-RXN	EC-4.1.2.4
DTDPDEHYDRHAMEPIM-RXN	EC-5.1.3.13
DTDPGLUCDEHYDRAT-RXN	EC-4.2.1.46
RXN-8769	EC-6.3.5.11
RXN-14256	
THYM-PHOSPH-RXN	EC-2.4.2.2	EC-2.4.2.4
RXN-14257	
TRYPTOPHAN--TRNA-LIGASE-RXN	EC-6.1.1.2
RXN0-7067	
RXN0-7167	EC-2.1.1
PROTEIN-KINASE-RXN	EC-2.7.11	EC-2.7.12.1
RXN0-884	EC-1.17.7.4
D-PPENTOMUT-RXN	EC-5.4.2.7
RXN0-385	EC-3.6.1.9	EC-3.6.1
RXN-19365	
RXN-21628	EC-1.3.1.9
RXN-17778	EC-2.3.1.16
ISPH2-RXN	EC-1.17.7.4
PPENTOMUT-RXN	EC-5.4.2.7
RXN-19368	EC-2.5.1.17
ADCLY-RXN	EC-4.1.3.38
RXN-16628	EC-1.3.1.9
DTMPKI-RXN	EC-2.7.4.12	EC-2.7.4.13	EC-2.7.4.9
RXN-19339	EC-2.5.1.17
RXN-17362	EC-3.4.23.36
RXN-19344	
R343-RXN	
RXN-9657	EC-1.3.1.9
R344-RXN	
4-COUMARATE--COA-LIGASE-RXN	EC-6.2.1.12
1.2.1.25-RXN	EC-1.2.1.25
RXN66-548	
RXN66-550	EC-1.5.5.1
2KETO-3METHYLVALERATE-RXN	EC-1.2.1.25
RXN0-2145	EC-1.3.1.9
RXN-19369	EC-2.5.1.17
RXN-19349	
2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN	EC-1.2.1.25
DEOXYINOPHOSPHOR-RXN	EC-2.4.2.1
RXN-19364	
1.5.5.1-RXN-YEAST	EC-1.5.5.1
RXN-21667	EC-1.3.1.9
DEOXYGUANPHOSPHOR-RXN	EC-2.4.2.1
RXN-9663	EC-1.3.1.9
RXN-22883	EC-3.1.2
RXN-9731	EC-1.13.11.3
RXN-20778	EC-2.3.1
SUPEROX-DISMUT-RXN	EC-1.15.1.1
RXN-14461	EC-2.7.1.180
RXN-16624	EC-1.3.1.9
ISOLEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.5
RXN-9659	EC-1.3.1.9
PROTOCATECHUATE-34-DIOXYGENASE-RXN	EC-1.13.11.3
RXN0-5199	EC-2.4.2.15	EC-2.4.2.1
UNDECAPRENYL-DIPHOSPHATASE-RXN	EC-3.6.1.27
RXN-21672	EC-1.3.1.9
RETINAL-OXIDASE-RXN	EC-1.17.1
TRANS-RXN0-498	
TRANS-RXN2R0Y-7	
ADENPHOSPHOR-RXN	EC-2.4.2.1
RXN-21647	EC-1.3.1.9
3-OXOADIPATE-ENOL-LACTONASE-RXN	EC-3.1.1.24
RXN-18511	EC-2.7.7.2
INOPHOSPHOR-RXN	EC-2.4.2.1
RXN-10083	EC-3.1.1.24
RXN-19340	
FADSYN-RXN	EC-2.7.7.2
RXN-11478	EC-1.3.1.9
4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN	EC-4.1.1.44
XANTHOSINEPHOSPHORY-RXN	EC-2.4.2.1
RXN-19335	EC-2.5.1.17
ALLANTOINASE-RXN	EC-3.5.2.5
RXN-18510	EC-2.7.1.26
ALLANTOATE-DEIMINASE-RXN	EC-3.5.3.9
RXN-19334	
RXN-21652	EC-1.3.1.9
COBALADENOSYLTRANS-RXN	
RXN-11578	EC-2.1.1.170
RXN-19366	
RXN-19342	
RIBONUCLEOSIDE-DIP-REDUCTI-RXN	EC-1.17.4.1
ATPSYN-RXN	EC-7.1.2.2
ADPREDUCT-RXN	EC-1.17.4.1
RXN-9658	EC-1.3.1.9
RXN-12565	EC-2.3.1.16	EC-2.3.1.9
TRANS-RXN-141	
RXN-20155	
RXN-20142	EC-4.2.1
RIBOFLAVINKIN-RXN	EC-2.7.1.26
RXN-20141	EC-6.2.1
DEOXYADENPHOSPHOR-RXN	EC-2.4.2.1
RXN-20143	EC-1.17.99.8
BTUR2-RXN	EC-2.5.1.17
RXN-20144	EC-1.1.1
ACETYL-COA-ACETYLTRANSFER-RXN	EC-2.3.1.16	EC-2.3.1.9
RXN-20145	EC-3.7.1
RXN-19338	
RXN-20154	
RXN-19343	
N-ACETYLGLUTPREDUCT-RXN	EC-1.2.1.38
RXN-8016	EC-3.5.4.45
RXN-11482	EC-1.3.1.9
CDPREDUCT-RXN	EC-1.17.4.1
SULFATE-ADENYLYLTRANS-RXN	EC-2.7.7.4
RXN-9386	EC-6.1.1.24
RXN0-747	EC-1.17.4.1
RXN-12720	EC-2.7.7.4
RXN0-748	EC-1.17.4.1
RXN-9662	EC-1.3.1.9
GSAAMINOTRANS-RXN	EC-5.4.3.8
RXN0-722	EC-1.17.4.1
GDPREDUCT-RXN	EC-1.17.4.1
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	EC-1.17.4.1
RXN-9660	EC-1.3.1.9
UDPREDUCT-RXN	EC-1.17.4.1
ADENYLYLSULFKIN-RXN	EC-2.7.1.25
RXN-21637	EC-1.3.1.9
RXN-6883	EC-1.10.3.11
RXN0-1603	EC-3.6.1.66
RXN-21620	EC-1.3.1.9
RXN-9732	
RXN0-5266	EC-7.1.1.7
RXN-9733	EC-3.1.1.92
MALEYLACETATE-REDUCTASE-RXN	EC-1.3.1.32
RXN0-1602	EC-3.6.1.66
UGD-RXN	EC-1.1.1.22
RXN-3641	EC-2.3.1.174
RXN0-6382	EC-3.6.1.66
RXN0-5401	
ENOYL-ACP-REDUCT-NADH-RXN	EC-1.3.1.9
L-ARABINONATE-DEHYDRATASE-RXN	EC-4.2.1.25
RXN-10086	EC-2.3.1.174
RXN0-6998	EC-2.1.1.266
RXN-16660	
RXN0-6480	EC-3.1.26.5
CYTIDEAM-RXN	EC-3.5.4.5
RXN-21624	EC-1.3.1.9
ALDOSE-1-EPIMERASE-RXN	EC-5.1.3.3
ALDOSE1EPIM-RXN	EC-5.1.3.3
CYTIDEAM2-RXN	EC-3.5.4.5
RXN-16665	
DAHPSYN-RXN	EC-2.5.1.54
RXN-19318	EC-2.7.8.26
ABC-9-RXN	EC-7.2.2.18
3-OXOADIPATE-COA-TRANSFERASE-RXN	EC-2.8.3.6
IMP-DEHYDROG-RXN	EC-1.1.1.205
3.1.4.1-RXN	EC-3.1.4.1
3.1.26.5-RXN	EC-3.1.26.5
RXN-19302	EC-2.7.8.26
3.4.21.89-RXN	EC-3.4.21.89
RXN-21657	EC-1.3.1.9
RXN-10035	EC-3.5.4.31
TRANS-RXN2R0Y-1	
GALACTODEHYDROG-RXN	EC-1.1.1.48
RXN-10085	EC-2.8.3.6
RXN-16620	EC-1.3.1.9
RXN-9635	EC-1.3.1.9
RXN-19307	EC-2.7.8.26
HISTIDPHOS-RXN	EC-3.1.3.15
XYLONATE-DEHYDRATASE-RXN	EC-4.2.1.82
PDXJ-RXN	EC-2.6.99.2
RXN-21858	EC-2.6.1.7
2.6.1.7-RXN	
COBALAMIN5PSYN-RXN	EC-2.7.8.26
RXN-10720	
RXN-9661	EC-1.3.1.9
GLYCINE--TRNA-LIGASE-RXN	EC-6.1.1.14
RXN-10661	EC-1.3.1.9
2-HYDROXYGLUTARATE-DEHYDROGENASE-RXN	EC-1.1.99.2
5.1.3.20-RXN	EC-5.1.3.20
CYSTEINE-AMINOTRANSFERASE-RXN	EC-2.6.1.3
1.2.1.53-RXN	EC-1.2.1.53
RXN-21616	EC-1.3.1.9
OCTOPAMINE-DEHYDRATASE-RXN	EC-4.2.1.87
RXN-19477	EC-2.7.8.7
RXN-10657	EC-1.3.1.9
PGLYCEROLTRANSI-RXN	EC-2.7.8.20
RXN-15198	EC-1.4.99
5.5.1.2-RXN	EC-5.5.1.2
SYNEPHRINE-DEHYDRATASE-RXN	EC-4.2.1.88
RXN-10674	EC-2.7.8.7
RXN-15192	
RXN-15193	
3.1.21.7-RXN	EC-3.1.21.7
RXN-15194	
RXN-21633	EC-1.3.1.9
RXN-15195	
RXN-15889	EC-2.7.8.7
RXN-15196	
4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN	EC-1.13.11.27
RXN-15197	
RXN-21662	EC-1.3.1.9
RXN-21350	EC-3.1.21.7
2.4.1.217-RXN	EC-2.4.1.217
RXN0-7013	EC-3.1.1.106
RXN-16632	EC-1.3.1.9
RXN-10815	EC-1.13.11.27
RXN-19911	EC-3.1.1.106
RXN-12029	EC-2.4.1.270
RXN-12039	EC-3.1.3
RXN-11109	EC-5.6.2
RXN-19308	EC-2.7.8.26
SHIKIMATE-5-DEHYDROGENASE-RXN	EC-1.1.1.25
ENTDB-RXN	EC-2.7.8.7
RXN0-4961	EC-3.1.11
RXN-19493	EC-2.7.8.7
RXN-14063	EC-2.7.1.156
3-DEHYDROQUINATE-DEHYDRATASE-RXN	EC-4.2.1.10
5.99.1.2-RXN	EC-5.6.2.1
SUCCORNTRANSAM-RXN	EC-2.6.1.81
2.7.1.156-RXN	EC-2.7.1.156
METHYLACYLYLCOA-HYDROXY-RXN	EC-4.2.1.150
RXN-10994	EC-2.7.8.7
2.6.1.22-RXN	EC-2.6.1.22
RXN-17363	EC-2.3.1.269
RXN-8852	EC-3.1.3.85
COBINAMIDEKIN-RXN	EC-2.7.1.156
RXN-11328	EC-2.7.1.166
1.3.1.2-RXN	EC-1.3.1.2
BETA-UREIDOPROPIONASE-RXN	EC-3.5.1.6
COBINPGUANYLYLTRANS-RXN	EC-2.7.7.62
TRANS-RXN-117	
RXN-17392	EC-4.2.2
RXN-19609	
RXN-19611	EC-2.5.1.18
RXN-16750	EC-2.7.1.166
RXN-7561	EC-2.3.1.109
RXN-19612	
4.1.1.81-RXN	EC-4.1.1.81
RXN-22427	
ARGININE-N-SUCCINYLTRANSFERASE-RXN	EC-2.3.1.109
RXN0-3201	EC-3.4.21
2.7.13.3-RXN	EC-2.7.13.3
RXN2G6Z-3	EC-2.7.1.166
RXN-22554	
SUCCGLUALDDEHYD-RXN	EC-1.2.1.71
RXN-16937	EC-2.5.1.129
6.3.1.10-RXN	EC-6.3.1.10
RXN0-4342	EC-2.7.7.70
HOLO-ACP-SYNTH-RXN	EC-2.7.8.7
SUCCARGDIHYDRO-RXN	EC-3.5.3.23
TRANS-RXN-131	
RXN-16759	EC-2.7.8.7
ABC-8-RXN	EC-7.4.2.9
RXN0-4341	EC-2.7.1.167
DCTP-PYROPHOSPHATASE-RXN	EC-3.6.1.9	EC-3.6.1.12	EC-3.6.1.65
RXN-14188	EC-3.6.1
RXN-6261	EC-6.3.1.10
GUANIDINOBUTYRASE-RXN	EC-3.5.3.7
RXN0-2361	EC-6.3.2.45
1.2.1.27-RXN	EC-1.2.1.27
RXN-9003	EC-2.5.1.39
RXN-7565	EC-3.5.3.7
DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN	EC-3.6.1
RXN-11213	EC-1.2.1.27
RXN0-7022	EC-6.3.2.45
RXN-9222	EC-2.5.1.39
MALONYL-COA-DECARBOXYLASE-RXN	EC-4.1.1.9
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	EC-3.6.1.67
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	EC-2.5.1.39
ACSERLY-RXN	EC-2.5.1.47
RXN66-448	
RXN-11368	EC-2.5.1.39
RXN-12726	EC-2.5.1.47
RXN-19316	EC-2.4.2.21
1.14.13.8-RXN	EC-1.14.13.8
2.5.1.39-RXN	EC-2.5.1.39
KDOTRANS-RXN	EC-2.4.99.12
RXN-11601	EC-2.1.1.190
ABC-35-RXN	EC-7.4.2.2
RXN66-81	EC-1.14.13.8
RXN-9277	EC-1.14.13
RXN-19298	EC-2.4.2.21
RXN-9283	EC-4.1.1
RXN-9280	EC-2.1.1.114
RXN-14291	EC-2.5.1.39
2-OCTAPRENYLPHENOL-HYDROX-RXN	EC-1.14.13.240
RXN-19295	EC-2.4.2.21
RXN-10017	
RXN-10015	
RXN-19300	EC-2.4.2.21
RXN-22486	EC-2.4.99.12
RXN-7605	EC-2.1.1
RXN-9230	EC-2.5.1.39
ATP-PYROPHOSPHATASE-RXN	EC-3.6.1.8
RXN-19301	EC-2.4.2.21
PEPCARBOX-RXN	EC-4.1.1.31
RXN-19306	EC-2.4.2.21
RXN-12195	EC-3.6.1.15
RXN-11835	EC-5.4.99.21
TRANS-RXN2R0Y-9	
CHORPYRLY-RXN	EC-4.1.3.40
RXN-19393	EC-1.14.13.8
DMBPPRIBOSYLTRANS-RXN	EC-2.4.2.21
RXN-19394	EC-1.14.13.8
RXN-19299	EC-2.4.2.21
RXN-22001	EC-1.18.1.1
RXN-13394	EC-1.2.1.67
RXN-22487	EC-2.4.99.13
ALBENDAZOLE-MONOOXYGENASE-RXN	EC-1.14.13.32
PGLUCONDEHYDRAT-RXN	EC-4.2.1.12
RUBREDOXIN--NAD+-REDUCTASE-RXN	EC-1.18.1.1
RIB5PISOM-RXN	EC-5.3.1.6
RXN-23038	
RXN-22440	EC-2.6.1.123
GLUCOKIN-RXN	EC-2.7.1.1	EC-2.7.1.2
RXN-22710	
RXN-19391	EC-1.14.13.8
THREDEHYD-RXN	EC-4.3.1.19
RXN-22439	
RXN-15122	
RIBOKIN-RXN	EC-2.7.1.15
RXN-15121	
RXN-19392	EC-1.14.13.8
RXN-15123	EC-3.5.99.10
GALACTONDEHYDRAT-RXN	EC-4.2.1.140	EC-4.2.1.6
RXN-12900	EC-1.14.13.148
5-FORMYL-THF-CYCLO-LIGASE-RXN	EC-6.3.3.2
DEHYDDEOXGALACTKIN-RXN	EC-2.7.1.178	EC-2.7.1.58
3.4.11.9-RXN	EC-3.4.11.9
DEHYDDEOXPHOSGALACT-ALDOL-RXN	EC-4.1.2.55	EC-4.1.2.21
IPPISOM-RXN	EC-5.3.3.2
TRANS-RXN2R0Y-15	
ASPARAGINE--TRNA-LIGASE-RXN	EC-6.1.1.22
RXN-8783	EC-3.1.1.17
3PGAREARR-RXN	EC-5.4.2.12
RXN-11598	EC-2.1.1.193
GLUCONOLACT-RXN	EC-3.1.1.17
HYPOTAURINE-DEHYDROGENASE-RXN	EC-1.14.13.8
TRANS-RXN2R0Y-24	
RXN-15512	
RXN-15511	
RXN-9623	EC-6.2.1.3
4OH2OXOGLUTARALDOL-RXN	EC-4.1.3.16
RXN-13403	EC-2.1.1.107
RXN-8675	
UROPORIIIMETHYLTRANSA-RXN	
RXN-8763	EC-3.7.1.12
RXN-8765	EC-1.3.1.106
RXN-8768	EC-5.4.99.60
R321-RXN	EC-1.14.13.83
KDPGALDOL-RXN	EC-4.1.2.55	EC-4.1.2.14
RXN-20401	EC-6.3.2.3
RXN-15510	
RXN-8761	
RXN-9644	EC-6.2.1.3
TRANS-RXN0-569	
RXN-8762	EC-2.1.1.271
RXN-15513	EC-5.4.2.11
6PGLUCONOLACT-RXN	EC-3.1.1.31
RXN-8764	EC-2.1.1.195
RXN-15509	
RXN-8766	EC-2.1.1.196
RXN-7904	EC-6.2.1.3
RXN-8767	EC-2.1.1.289
GLU6PDEHYDROG-RXN	EC-1.1.1.49
2.1.1.151-RXN	EC-2.1.1.151
RXN-14315	
RXN-20407	EC-6.3.2.3
RXN0-2605	EC-3.1.11.5
GLUTATHIONE-SYN-RXN	EC-6.3.2.3
CHER-RXN	EC-2.1.1.80
NITRATE-REDUCTASE-NADH-RXN	EC-1.7.1.1
GLUCOSAMINE-KINASE-RXN	EC-2.7.1.8
ASPCARBTRANS-RXN	EC-2.1.3.2
DIHYDROXYISOVALDEHYDRAT-RXN	EC-4.2.1.9
NITRATE-REDUCTASE-NADPORNOPH-RXN	EC-1.7.1.2
ABC-63-RXN	EC-7.2.2.20
HEXOKINASE-RXN	EC-2.7.1.1
DIHYDROXYMETVALDEHYDRAT-RXN	EC-4.2.1.9
NITRATE-REDUCTASE-NADPH-RXN	EC-1.7.1.3
TRANS-RXN0-234	
RXN0-3501	EC-1.7.5.1
MCPMETEST-RXN	EC-3.1.1.61
RXN0-2481	
RXN0-743	EC-5.4.99.18
RXN0-5242	
RXN0-7124	EC-1.7.5.1
RXN-17661	
RXN0-4261	EC-5.6.2.3
RXN0-742	EC-6.3.4.18
RXN-11236	EC-1.7.5.1
RXN-11135	EC-5.6.2.4
RXN-16393	EC-6.2.1.2	EC-6.2.1.3
RXN-21815	EC-1.7.5.1
RXN-11209	EC-1.3.1.2
PPPGPPHYDRO-RXN	EC-3.6.1.40
RXN-11210	EC-3.5.1.6
RXN-14283	EC-3.2.1.20
RXN-21413	
SUCCGLUDESUCC-RXN	EC-3.5.1.96
RXN-21454	
RXN-22999	EC-2.7.1
RXN-16380	EC-6.2.1.3
RXN-14281	EC-3.2.1.20
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN	EC-4.1.3.4
RXN-21453	
PPGPPSYN-RXN	EC-3.1.7.2
RXN-11187	EC-2.8.4.2
RXN-15910	EC-3.2.1.20
RXN-21238	
NQOR-RXN	EC-1.6.5.2
METHYLGLUTACONYL-COA-HYDRATASE-RXN	EC-4.2.1.18
MALTODEXGLUCOSID-RXN	EC-3.2.1.20
RXN0-6427	EC-3.1.7.2
RXN-16333	
GDPPYPHOSKIN-RXN	EC-2.7.6.5
RXN-14282	EC-3.2.1.20
RXN0-6369	EC-1.7.5.1
RXN0-7386	EC-1.6.5.2
METHYLCROTONYL-COA-CARBOXYLASE-RXN	EC-6.4.1.4
RXN0-7388	EC-5.6.2
1.7.7.2-RXN	EC-1.7.7.2
RXN1YI0-16	EC-1.6.5.2
GTPPYPHOSKIN-RXN	EC-2.7.6.5
RXN0-5183	EC-3.2.1.20
TRANS-RXN2R0Y-22	
NITRATE-REDUCTASE-CYTOCHROME-RXN	EC-1.9.6.1
RXN0-2301	EC-1.3.8.4
RXN-19671	EC-1.6.5.2
RXN-18581	
RXN0-6370	
RXN-12303	EC-1.6.5.2
ACYLCOASYN-RXN	EC-6.2.1
1.1.1.83-RXN	EC-1.1.1.83
2-METHYLACYL-COA-DEHYDROGENASE-RXN	EC-1.3.8.5
RXN-23715	
RXN-21522	
RXN-21774	EC-1.3.8.5
DNA-DIRECTED-RNA-POLYMERASE-RXN	EC-2.7.7.6
RXN-21765	EC-1.3.8.5
1.14.11.1-RXN	EC-1.14.11.1
RXN-11189	EC-1.20.4.3
RXN-22498	EC-2.7.4.8
3.6.3.16-RXN	EC-7.3.2.7
DTDPDEHYRHAMREDUCT-RXN	EC-1.1.1.133
MEPROPCOA-FAD-RXN	EC-1.3.8.5
RXN-20994	EC-1.3.1.34
RXN-20995	EC-1.3.1.34
METHGLYSYN-RXN	EC-4.2.3.3
3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN	EC-3.1.2.4
DIENOYLCOAREDUCT-RXN	EC-1.3.1.34
RXN-6384	EC-3.1.2.4
RXN-13721	EC-3.1.2.4
GUANYL-KIN-RXN	EC-2.7.4.8
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN	EC-1.1.1.31
RXN-11588	EC-2.1.1.185
RXN0-6483	EC-3.1.13.5
RXN0-6377	EC-1.7.1.4
RXN0-6484	EC-3.1.13.5
KETOBUTFORMLY-RXN	EC-2.3.1
3.1.13.5-RXN	EC-3.1.13.5
PTAALT-RXN	EC-2.3.1.222
RXN0-2621	EC-3.1.25
RXN-22913	EC-1.1.1.169
1PFRUCTPHOSN-RXN	EC-2.7.1.56
2-DEHYDROPANTOATE-REDUCT-RXN	EC-1.1.1.169
PROTOHEMEFERROCHELAT-RXN	EC-4.98.1.1
RXN0-7165	EC-2.3.1.57
RXN-9772	EC-1.5.98
RXN-9939	EC-2.3.1.57
RXN-15154	EC-2.7.1.202
TRANS-RXN-477	EC-7.4.2.8
RXN-15150	EC-2.7.1.202
PROLINE--TRNA-LIGASE-RXN	EC-6.1.1.15
SPERMACTRAN-RXN	EC-2.3.1.57
RXN-15157	EC-2.7.1.202
RXN-22334	
DIAMACTRANS-RXN	EC-2.3.1.57
2.1.1.137-RXN	EC-2.1.1.137
ABC-15-RXN	EC-7.4.2.2
RXN-15151	EC-2.7.1.202
RXN-19536	EC-2.3.1.57
RXN-22335	
RXN2R0Y-6	
RXN-15155	EC-2.7.1.202
RXN-22330	EC-2.1.1.137
RXN-22332	
RXN-15152	EC-2.7.1.202
RXN-0	EC-2.3.1.57
RXN-22333	
RXN-22329	
TRANS-RXN2R0Y-12	
RXN-15084	EC-2.7.1.202
QOR-RXN	EC-1.6.5.5
RXN2R0Y-1	
PGLUCISOM-RXN	EC-5.3.1.9
RXN0-6563	EC-4.1.2.48
3.4.21.105-RXN	EC-3.4.21.105
1.2.1.2-RXN	EC-1.17.1.9
THREONINE-ALDOLASE-RXN	EC-4.1.2.48	EC-4.1.2.5
LTAA-RXN	EC-4.1.2.48	EC-4.1.2.49
NAD-KIN-RXN	EC-2.7.1	EC-2.7.1.23
RXN-21295	EC-2.7.7.77
RXN0-6373	EC-1.1.5.2
TRANS-RXN0-237	
RXN0-6372	
RXN-14903	EC-1.5.5.2
RXN-22553	
RXN0-262	EC-2.7.7.77
RXN0-7008	EC-1.5.5.2
RXN0-7005	
