G2R0Y-5156-MONOMER	G2R0Y-5156		RNA polymerase sigma factor RpoD	
G2R0Y-5184-MONOMER	G2R0Y-5184		Phosphotransferase involved in threonylcarbamoyladenosine t(6)A37 formation in tRNA	
G2R0Y-5185-MONOMER	G2R0Y-5185		Glucose-1-phosphate thymidylyltransferase	
G2R0Y-5186-MONOMER	G2R0Y-5186		Glucose-1-phosphate thymidylyltransferase	
G2R0Y-5187-MONOMER	G2R0Y-5187			
G2R0Y-5188-MONOMER	G2R0Y-5188			
G2R0Y-5189-MONOMER	G2R0Y-5189		Protein YhfA	
G2R0Y-5190-MONOMER	G2R0Y-5190		Protein YhfA	
G2R0Y-5191-MONOMER	G2R0Y-5191		S-adenosylmethionine decarboxylase proenzyme, prokaryotic class 1A	
G2R0Y-5192-MONOMER	G2R0Y-5192		S-adenosylmethionine decarboxylase proenzyme, prokaryotic class 1A	
G2R0Y-5193-MONOMER	G2R0Y-5193		Lipid A biosynthesis lauroyl acyltransferase	
G2R0Y-5194-MONOMER	G2R0Y-5194		Lipid A biosynthesis lauroyl acyltransferase	
G2R0Y-5195-MONOMER	G2R0Y-5195		Alanine racemase	
G2R0Y-5196-MONOMER	G2R0Y-5196		Alanine racemase	
G2R0Y-5197-MONOMER	G2R0Y-5197		RNA polymerase sigma factor RpoS	
G2R0Y-5198-MONOMER	G2R0Y-5198		RNA polymerase sigma factor RpoS	
G2R0Y-5199-MONOMER	G2R0Y-5199		Murein hydrolase activator NlpD	
G2R0Y-5200-MONOMER	G2R0Y-5200		Murein hydrolase activator NlpD	
G2R0Y-5201-MONOMER	G2R0Y-5201		protein of unknown function DUF368	
G2R0Y-5202-MONOMER	G2R0Y-5202		protein of unknown function DUF368	
G2R0Y-5203-MONOMER	G2R0Y-5203		Protein-L-isoaspartate O-methyltransferase	
G2R0Y-5204-MONOMER	G2R0Y-5204		Protein-L-isoaspartate O-methyltransferase	
G2R0Y-5205-MONOMER	G2R0Y-5205		5'-nucleotidase SurE	
G2R0Y-5206-MONOMER	G2R0Y-5206		5'-nucleotidase SurE	
G2R0Y-5207-MONOMER	G2R0Y-5207		tRNA pseudouridine(13) synthase	
G2R0Y-5208-MONOMER	G2R0Y-5208		tRNA pseudouridine(13) synthase	
G2R0Y-5209-MONOMER	G2R0Y-5209		2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	
G2R0Y-5210-MONOMER	G2R0Y-5210		2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	
G2R0Y-5211-MONOMER	G2R0Y-5211		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	
G2R0Y-5212-MONOMER	G2R0Y-5212		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	
G2R0Y-5213-MONOMER	G2R0Y-5213		Cell division protein DivIC (FtsB), stabilizes FtsL against RasP cleavage	
G2R0Y-5214-MONOMER	G2R0Y-5214		Cell division protein DivIC (FtsB), stabilizes FtsL against RasP cleavage	
G2R0Y-5215-MONOMER	G2R0Y-5215		FIG110192: hypothetical protein	
G2R0Y-5216-MONOMER	G2R0Y-5216		FIG110192: hypothetical protein	
G2R0Y-5217-MONOMER	G2R0Y-5217		Multi-sensor hybrid histidine kinase	
G2R0Y-5218-MONOMER	G2R0Y-5218		Multi-sensor hybrid histidine kinase	
G2R0Y-5219-MONOMER	G2R0Y-5219		diguanylate cyclase/phosphodiesterase (GGDEF &amp; EAL domains) with PAS/PAC sensor(s)	
G2R0Y-5220-MONOMER	G2R0Y-5220		diguanylate cyclase/phosphodiesterase (GGDEF &amp; EAL domains) with PAS/PAC sensor(s)	
G2R0Y-5221-MONOMER	G2R0Y-5221		Phosphogluconate repressor HexR, RpiR family	
G2R0Y-5222-MONOMER	G2R0Y-5222		Phosphogluconate repressor HexR, RpiR family	
G2R0Y-5223-MONOMER	G2R0Y-5223			
G2R0Y-5224-MONOMER	G2R0Y-5224			
G2R0Y-5225-MONOMER	G2R0Y-5225			
G2R0Y-5226-MONOMER	G2R0Y-5226			
G2R0Y-5227-MONOMER	G2R0Y-5227		Universal stress protein family 4	
G2R0Y-5228-MONOMER	G2R0Y-5228		Universal stress protein family 4	
G2R0Y-5229-MONOMER	G2R0Y-5229		Fluoride ion transporter CrcB	
G2R0Y-5230-MONOMER	G2R0Y-5230		Fluoride ion transporter CrcB	
G2R0Y-5231-MONOMER	G2R0Y-5231		Fluoride ion transporter CrcB	
G2R0Y-5232-MONOMER	G2R0Y-5232		Fluoride ion transporter CrcB	
G2R0Y-5233-MONOMER	G2R0Y-5233		Putative sodium-dependent transporter	
G2R0Y-5234-MONOMER	G2R0Y-5234		Putative sodium-dependent transporter	
G2R0Y-5235-MONOMER	G2R0Y-5235		Cyclopropane-fatty-acyl-phospholipid synthase	
CPLX2R0Y-18			putative glycine betaine ABC transporter	
G2R0Y-5236-MONOMER	G2R0Y-5236		Cyclopropane-fatty-acyl-phospholipid synthase	
G2R0Y-5237-MONOMER	G2R0Y-5237		Universal stress protein family 4	
G2R0Y-5238-MONOMER	G2R0Y-5238		Universal stress protein family 4	
G2R0Y-5239-MONOMER	G2R0Y-5239		Sulfate permease	
G2R0Y-5240-MONOMER	G2R0Y-5240		Sulfate permease	
G2R0Y-5241-MONOMER	G2R0Y-5241		Isocitrate dehydrogenase [NAD]	
G2R0Y-5242-MONOMER	G2R0Y-5242		Isocitrate dehydrogenase [NAD]	
G2R0Y-5243-MONOMER	G2R0Y-5243		Lead, cadmium, zinc and mercury transporting ATPase; Copper-translocating P-type ATPase	
G2R0Y-5244-MONOMER	G2R0Y-5244		Lead, cadmium, zinc and mercury transporting ATPase; Copper-translocating P-type ATPase	
G2R0Y-5245-MONOMER	G2R0Y-5245		Transcriptional regulator, MerR family	
G2R0Y-5246-MONOMER	G2R0Y-5246		Transcriptional regulator, MerR family	
G2R0Y-5247-MONOMER	G2R0Y-5247		Metal transporter, ZIP family	
G2R0Y-5248-MONOMER	G2R0Y-5248		Metal transporter, ZIP family	
G2R0Y-5249-MONOMER	G2R0Y-5249			
G2R0Y-5250-MONOMER	G2R0Y-5250			
G2R0Y-5251-MONOMER	G2R0Y-5251		FIG00432062: Rhodanese-related sulfurtransferase	
G2R0Y-5252-MONOMER	G2R0Y-5252		FIG00432062: Rhodanese-related sulfurtransferase	
G2R0Y-5253-MONOMER	G2R0Y-5253			
G2R0Y-5254-MONOMER	G2R0Y-5254			
G2R0Y-5255-MONOMER	G2R0Y-5255		hypothetical protein	
G2R0Y-5256-MONOMER	G2R0Y-5256		hypothetical protein	
G2R0Y-5257-MONOMER	G2R0Y-5257		hypothetical protein	
G2R0Y-5258-MONOMER	G2R0Y-5258		hypothetical protein	
G2R0Y-5259-MONOMER	G2R0Y-5259		hypothetical protein	
G2R0Y-5260-MONOMER	G2R0Y-5260		hypothetical protein	
G2R0Y-5261-MONOMER	G2R0Y-5261		hypothetical protein	
G2R0Y-5262-MONOMER	G2R0Y-5262		hypothetical protein	
G2R0Y-5263-MONOMER	G2R0Y-5263			
G2R0Y-5264-MONOMER	G2R0Y-5264			
G2R0Y-5265-MONOMER	G2R0Y-5265		hypothetical protein	
G2R0Y-5266-MONOMER	G2R0Y-5266		hypothetical protein	
G2R0Y-5267-MONOMER	G2R0Y-5267		Methyl-accepting chemotaxis sensor/transducer protein	
G2R0Y-5268-MONOMER	G2R0Y-5268		Methyl-accepting chemotaxis sensor/transducer protein	
G2R0Y-5269-MONOMER	G2R0Y-5269		Alkyl hydroperoxide reductase subunit C-like protein	
G2R0Y-5270-MONOMER	G2R0Y-5270		Alkyl hydroperoxide reductase subunit C-like protein	
CPLX2R0Y-29			putative urea ABC transporter	
G2R0Y-5271-MONOMER	G2R0Y-5271		CBS-domain-containing protein	
G2R0Y-5272-MONOMER	G2R0Y-5272		CBS-domain-containing protein	
G2R0Y-5273-MONOMER	G2R0Y-5273		hypothetical protein	
G2R0Y-5274-MONOMER	G2R0Y-5274		hypothetical protein	
G2R0Y-5275-MONOMER	G2R0Y-5275		S-ribosylhomocysteine lyase; Autoinducer-2 production protein LuxS	
G2R0Y-5276-MONOMER	G2R0Y-5276		S-ribosylhomocysteine lyase; Autoinducer-2 production protein LuxS	
G2R0Y-5277-MONOMER	G2R0Y-5277		Antibiotic biosynthesis monooxygenase	
G2R0Y-5278-MONOMER	G2R0Y-5278		Antibiotic biosynthesis monooxygenase	
G2R0Y-5279-MONOMER	G2R0Y-5279		hypothetical protein	
G2R0Y-5280-MONOMER	G2R0Y-5280		hypothetical protein	
G2R0Y-5281-MONOMER	G2R0Y-5281		Haloacid dehalogenase, type II	
G2R0Y-5282-MONOMER	G2R0Y-5282		Haloacid dehalogenase, type II	
G2R0Y-5283-MONOMER	G2R0Y-5283		L-2,4-diaminobutyric acid transaminase DoeD	
G2R0Y-5284-MONOMER	G2R0Y-5284		L-2,4-diaminobutyric acid transaminase DoeD	
G2R0Y-5285-MONOMER	G2R0Y-5285		Aspartate-semialdehyde dehydrogenase DoeC in ectoine degradation	
G2R0Y-5286-MONOMER	G2R0Y-5286		Aspartate-semialdehyde dehydrogenase DoeC in ectoine degradation	
G2R0Y-5287-MONOMER	G2R0Y-5287			
G2R0Y-5288-MONOMER	G2R0Y-5288			
G2R0Y-5289-MONOMER	G2R0Y-5289		DNA-binding protein DoeX, ectoine utilization regulator	
G2R0Y-5290-MONOMER	G2R0Y-5290		DNA-binding protein DoeX, ectoine utilization regulator	
G2R0Y-5291-MONOMER	G2R0Y-5291		N-alpha-acetyl-L-2,4-diaminobutyrate deacetylase	
G2R0Y-5292-MONOMER	G2R0Y-5292		N-alpha-acetyl-L-2,4-diaminobutyrate deacetylase	
G2R0Y-5293-MONOMER	G2R0Y-5293		Ectoine hydrolase	
G2R0Y-5294-MONOMER	G2R0Y-5294		Ectoine hydrolase	
G2R0Y-5295-MONOMER	G2R0Y-5295		D-3-phosphoglycerate dehydrogenase	
G2R0Y-5296-MONOMER	G2R0Y-5296		D-3-phosphoglycerate dehydrogenase	
CPLX2R0Y-4			putative Co2+ ABC transporter	
G2R0Y-5297-MONOMER	G2R0Y-5297		Nicotinamidase	
G2R0Y-5298-MONOMER	G2R0Y-5298		Nicotinamidase	
G2R0Y-5299-MONOMER	G2R0Y-5299		Nicotinate phosphoribosyltransferase	
G2R0Y-5300-MONOMER	G2R0Y-5300		Nicotinate phosphoribosyltransferase	
G2R0Y-5301-MONOMER	G2R0Y-5301			
G2R0Y-5302-MONOMER	G2R0Y-5302			
G2R0Y-5303-MONOMER	G2R0Y-5303		Lysine exporter LysO	
G2R0Y-5304-MONOMER	G2R0Y-5304		Lysine exporter LysO	
G2R0Y-5305-MONOMER	G2R0Y-5305		OsmC-like N-terminal domain; Ribosomal protein S12p methylthiotransferase accessory factor YcaO	
G2R0Y-5306-MONOMER	G2R0Y-5306		OsmC-like N-terminal domain; Ribosomal protein S12p methylthiotransferase accessory factor YcaO	
G2R0Y-5307-MONOMER	G2R0Y-5307		Transcriptional regulator, AcrR family	
G2R0Y-5308-MONOMER	G2R0Y-5308		Transcriptional regulator, AcrR family	
G2R0Y-5309-MONOMER	G2R0Y-5309		Membrane fusion protein of RND family multidrug efflux pump	
G2R0Y-5310-MONOMER	G2R0Y-5310		Membrane fusion protein of RND family multidrug efflux pump	
G2R0Y-5311-MONOMER	G2R0Y-5311		Acriflavin resistance protein	
G2R0Y-5312-MONOMER	G2R0Y-5312		Acriflavin resistance protein	
G2R0Y-5313-MONOMER	G2R0Y-5313		Sensory histidine kinase BaeS	
CPLX2R0Y-41			Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3	
G2R0Y-5314-MONOMER	G2R0Y-5314		Sensory histidine kinase BaeS	
G2R0Y-5315-MONOMER	G2R0Y-5315		Response regulator BaeR	
G2R0Y-5316-MONOMER	G2R0Y-5316		Response regulator BaeR	
G2R0Y-5317-MONOMER	G2R0Y-5317		hypothetical protein	
G2R0Y-5318-MONOMER	G2R0Y-5318		hypothetical protein	
G2R0Y-5319-MONOMER	G2R0Y-5319			
G2R0Y-5320-MONOMER	G2R0Y-5320			
G2R0Y-5321-MONOMER	G2R0Y-5321		High-affinity choline uptake protein BetT	
G2R0Y-5322-MONOMER	G2R0Y-5322		High-affinity choline uptake protein BetT	
G2R0Y-5323-MONOMER	G2R0Y-5323		Putative sulfate permease	
G2R0Y-5324-MONOMER	G2R0Y-5324		Putative sulfate permease	
G2R0Y-5325-MONOMER	G2R0Y-5325		Alcohol dehydrogenase	
G2R0Y-5326-MONOMER	G2R0Y-5326		Alcohol dehydrogenase	
G2R0Y-5327-MONOMER	G2R0Y-5327		Aldehyde dehydrogenase	
G2R0Y-5328-MONOMER	G2R0Y-5328		Aldehyde dehydrogenase	
G2R0Y-5329-MONOMER	G2R0Y-5329		Two-component transcriptional response regulator, LuxR family	
G2R0Y-5330-MONOMER	G2R0Y-5330		Two-component transcriptional response regulator, LuxR family	
G2R0Y-5331-MONOMER	G2R0Y-5331		hypothetical protein	
G2R0Y-5332-MONOMER	G2R0Y-5332		hypothetical protein	
G2R0Y-5333-MONOMER	G2R0Y-5333		FIG00955015: hypothetical protein	
G2R0Y-5334-MONOMER	G2R0Y-5334		FIG00955015: hypothetical protein	
G2R0Y-5335-MONOMER	G2R0Y-5335		hypothetical protein	
G2R0Y-5336-MONOMER	G2R0Y-5336		hypothetical protein	
G2R0Y-5337-MONOMER	G2R0Y-5337		hypothetical protein	
G2R0Y-5338-MONOMER	G2R0Y-5338		hypothetical protein	
G2R0Y-5339-MONOMER	G2R0Y-5339		Universal stress protein family 3	
G2R0Y-5340-MONOMER	G2R0Y-5340		Universal stress protein family 3	
G2R0Y-5341-MONOMER	G2R0Y-5341		TRAP-type uncharacterized transport system, fused permease component	
G2R0Y-5342-MONOMER	G2R0Y-5342		TRAP-type uncharacterized transport system, fused permease component	
G2R0Y-5343-MONOMER	G2R0Y-5343		TRAP transporter solute receptor, TAXI family precursor	
G2R0Y-5344-MONOMER	G2R0Y-5344		TRAP transporter solute receptor, TAXI family precursor	
G2R0Y-5345-MONOMER	G2R0Y-5345		TRAP-type C4-dicarboxylate transport system, large permease component	
G2R0Y-5346-MONOMER	G2R0Y-5346		TRAP-type C4-dicarboxylate transport system, large permease component	
G2R0Y-5347-MONOMER	G2R0Y-5347		TRAP-type transport system, small permease component, predicted N-acetylneuraminate transporter	
G2R0Y-5348-MONOMER	G2R0Y-5348		TRAP-type transport system, small permease component, predicted N-acetylneuraminate transporter	
G2R0Y-5349-MONOMER	G2R0Y-5349		TRAP-type C4-dicarboxylate transport system, periplasmic component	
G2R0Y-5350-MONOMER	G2R0Y-5350		TRAP-type C4-dicarboxylate transport system, periplasmic component	
G2R0Y-5351-MONOMER	G2R0Y-5351		Permease of the drug/metabolite transporter (DMT) superfamily	
G2R0Y-5352-MONOMER	G2R0Y-5352		Permease of the drug/metabolite transporter (DMT) superfamily	
G2R0Y-5353-MONOMER	G2R0Y-5353		hypothetical protein	
G2R0Y-5354-MONOMER	G2R0Y-5354		hypothetical protein	
G2R0Y-5355-MONOMER	G2R0Y-5355		Molybdenum ABC transporter ATP-binding protein ModC	
G2R0Y-5356-MONOMER	G2R0Y-5356		Molybdenum ABC transporter ATP-binding protein ModC	
G2R0Y-5357-MONOMER	G2R0Y-5357		Molybdenum ABC transporter permease protein ModB	
G2R0Y-5358-MONOMER	G2R0Y-5358		Molybdenum ABC transporter permease protein ModB	
G2R0Y-5359-MONOMER	G2R0Y-5359		Molybdenum ABC transporter, substrate-binding protein ModA	
G2R0Y-5360-MONOMER	G2R0Y-5360		Molybdenum ABC transporter, substrate-binding protein ModA	
G2R0Y-5361-MONOMER	G2R0Y-5361		Pyruvate kinase	
G2R0Y-5362-MONOMER	G2R0Y-5362		Pyruvate kinase	
G2R0Y-5363-MONOMER	G2R0Y-5363		Ureidoglycolate lyase	
G2R0Y-5364-MONOMER	G2R0Y-5364		Ureidoglycolate lyase	
G2R0Y-5365-MONOMER	G2R0Y-5365		Ureidoglycine aminohydrolase	
G2R0Y-5366-MONOMER	G2R0Y-5366		Ureidoglycine aminohydrolase	
G2R0Y-5367-MONOMER	G2R0Y-5367		Uricase (urate oxidase)	
G2R0Y-5368-MONOMER	G2R0Y-5368		Uricase (urate oxidase)	
G2R0Y-5369-MONOMER	G2R0Y-5369		Allantoin racemase	
G2R0Y-5370-MONOMER	G2R0Y-5370		Allantoin racemase	
G2R0Y-5371-MONOMER	G2R0Y-5371		Cytosine/purine/uracil/thiamine/allantoin permease family protein	
G2R0Y-5372-MONOMER	G2R0Y-5372		Cytosine/purine/uracil/thiamine/allantoin permease family protein	
G2R0Y-5373-MONOMER	G2R0Y-5373		Cytosine/purine/uracil/thiamine/allantoin permease family protein	
G2R0Y-5374-MONOMER	G2R0Y-5374		Cytosine/purine/uracil/thiamine/allantoin permease family protein	
G2R0Y-5375-MONOMER	G2R0Y-5375		Transcriptional regulator, LysR family	
G2R0Y-5376-MONOMER	G2R0Y-5376		Transcriptional regulator, LysR family	
G2R0Y-5377-MONOMER	G2R0Y-5377		Nucleoside-diphosphate-sugar epimerases	
G2R0Y-5378-MONOMER	G2R0Y-5378		Nucleoside-diphosphate-sugar epimerases	
G2R0Y-5379-MONOMER	G2R0Y-5379		Transcriptional regulator, GntR family	
G2R0Y-5380-MONOMER	G2R0Y-5380		Transcriptional regulator, GntR family	
G2R0Y-5381-MONOMER	G2R0Y-5381		FIG137887: membrane protein related to purine degradation	
G2R0Y-5382-MONOMER	G2R0Y-5382		FIG137887: membrane protein related to purine degradation	
G2R0Y-5383-MONOMER	G2R0Y-5383		5-hydroxyisourate hydrolase	
G2R0Y-5384-MONOMER	G2R0Y-5384		5-hydroxyisourate hydrolase	
G2R0Y-5385-MONOMER	G2R0Y-5385		2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline (OHCU) decarboxylase	
G2R0Y-5386-MONOMER	G2R0Y-5386		2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline (OHCU) decarboxylase	
G2R0Y-5387-MONOMER	G2R0Y-5387			
G2R0Y-5388-MONOMER	G2R0Y-5388			
G2R0Y-5389-MONOMER	G2R0Y-5389		glutathione S-transferase-like protein	
G2R0Y-5390-MONOMER	G2R0Y-5390		glutathione S-transferase-like protein	
G2R0Y-5391-MONOMER	G2R0Y-5391		L-lactate permease	
G2R0Y-5392-MONOMER	G2R0Y-5392		L-lactate permease	
G2R0Y-5393-MONOMER	G2R0Y-5393		Glycolate dehydrogenase, subunit GlcD	
G2R0Y-5394-MONOMER	G2R0Y-5394		Glycolate dehydrogenase, subunit GlcD	
G2R0Y-5395-MONOMER	G2R0Y-5395			
G2R0Y-5396-MONOMER	G2R0Y-5396			
G2R0Y-5397-MONOMER	G2R0Y-5397		Glycolate dehydrogenase, FAD-binding subunit GlcE	
G2R0Y-5398-MONOMER	G2R0Y-5398		Glycolate dehydrogenase, FAD-binding subunit GlcE	
G2R0Y-5399-MONOMER	G2R0Y-5399		Glycolate dehydrogenase, iron-sulfur subunit GlcF	
G2R0Y-5400-MONOMER	G2R0Y-5400		Glycolate dehydrogenase, iron-sulfur subunit GlcF	
G2R0Y-5401-MONOMER	G2R0Y-5401		Hypothetical protein GlcG in glycolate utilization operon	
G2R0Y-5402-MONOMER	G2R0Y-5402		Hypothetical protein GlcG in glycolate utilization operon	
G2R0Y-5403-MONOMER	G2R0Y-5403		Hydrolase SM_b20688, alpha/beta fold family	
G2R0Y-5404-MONOMER	G2R0Y-5404		Hydrolase SM_b20688, alpha/beta fold family	
G2R0Y-5405-MONOMER	G2R0Y-5405		Coproporphyrinogen III oxidase, oxygen-independent	
G2R0Y-5406-MONOMER	G2R0Y-5406		Coproporphyrinogen III oxidase, oxygen-independent	
G2R0Y-5407-MONOMER	G2R0Y-5407		Fumarate and nitrate reduction regulatory protein	
G2R0Y-5408-MONOMER	G2R0Y-5408		Fumarate and nitrate reduction regulatory protein	
G2R0Y-5409-MONOMER	G2R0Y-5409		tRNA-(cytosine32)-2-thiocytidine synthetase TtcA	
G2R0Y-5410-MONOMER	G2R0Y-5410		tRNA-(cytosine32)-2-thiocytidine synthetase TtcA	
G2R0Y-5411-MONOMER	G2R0Y-5411		hypothetical protein	
G2R0Y-5412-MONOMER	G2R0Y-5412		hypothetical protein	
G2R0Y-5413-MONOMER	G2R0Y-5413		Predicted signal-transduction protein containing cAMP-binding and CBS domains	
G2R0Y-5414-MONOMER	G2R0Y-5414		Predicted signal-transduction protein containing cAMP-binding and CBS domains	
G2R0Y-5415-MONOMER	G2R0Y-5415		FIG152265: Sodium:solute symporter associated protein	
G2R0Y-5416-MONOMER	G2R0Y-5416		FIG152265: Sodium:solute symporter associated protein	
G2R0Y-5417-MONOMER	G2R0Y-5417		Acetate permease ActP (cation/acetate symporter)	
G2R0Y-5418-MONOMER	G2R0Y-5418		Acetate permease ActP (cation/acetate symporter)	
G2R0Y-5419-MONOMER	G2R0Y-5419		hypothetical protein	
G2R0Y-5420-MONOMER	G2R0Y-5420		hypothetical protein	
G2R0Y-5421-MONOMER	G2R0Y-5421		Two-component system sensor histidine kinase	
G2R0Y-5422-MONOMER	G2R0Y-5422		Two-component system sensor histidine kinase	
G2R0Y-5423-MONOMER	G2R0Y-5423		Two-component transcriptional response regulator, LuxR family	
G2R0Y-5424-MONOMER	G2R0Y-5424		Two-component transcriptional response regulator, LuxR family	
G2R0Y-5425-MONOMER	G2R0Y-5425		Acetyl-CoA synthetase	
G2R0Y-5426-MONOMER	G2R0Y-5426		Acetyl-CoA synthetase	
G2R0Y-5427-MONOMER	G2R0Y-5427		Protein SprT	
G2R0Y-5654-MONOMER	G2R0Y-5654		FIG000875: Thioredoxin domain-containing protein EC-YbbN	
G2R0Y-5428-MONOMER	G2R0Y-5428		Protein SprT	
G2R0Y-5517-MONOMER	G2R0Y-5517		Enhancing lycopene biosynthesis protein 2	
G2R0Y-5429-MONOMER	G2R0Y-5429		YgfB and YecA	
G2R0Y-1-MONOMER	G2R0Y-1		Ribonuclease PH	
G2R0Y-5430-MONOMER	G2R0Y-5430		YgfB and YecA	
G2R0Y-2-MONOMER	G2R0Y-2		Ribonuclease PH	
G2R0Y-5431-MONOMER	G2R0Y-5431		putative phospholipase D family protein	
G2R0Y-3-MONOMER	G2R0Y-3		Exodeoxyribonuclease III	
G2R0Y-5432-MONOMER	G2R0Y-5432		putative phospholipase D family protein	
G2R0Y-4-MONOMER	G2R0Y-4		Exodeoxyribonuclease III	
G2R0Y-5433-MONOMER	G2R0Y-5433		16S rRNA (guanine(1516)-N(2))-methyltransferase	
G2R0Y-5-MONOMER	G2R0Y-5		Orotate phosphoribosyltransferase	
G2R0Y-5434-MONOMER	G2R0Y-5434		16S rRNA (guanine(1516)-N(2))-methyltransferase	
G2R0Y-6-MONOMER	G2R0Y-6		Orotate phosphoribosyltransferase	
G2R0Y-5435-MONOMER	G2R0Y-5435		tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	
G2R0Y-7-MONOMER	G2R0Y-7		Orotate phosphoribosyltransferase	
G2R0Y-5436-MONOMER	G2R0Y-5436		tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	
G2R0Y-8-MONOMER	G2R0Y-8		Orotate phosphoribosyltransferase	
G2R0Y-5437-MONOMER	G2R0Y-5437		Adenylate kinase	
G2R0Y-9-MONOMER	G2R0Y-9		tRNA (cytidine(34)-2'-O)-methyltransferase	
G2R0Y-5438-MONOMER	G2R0Y-5438		Adenylate kinase	
G2R0Y-10-MONOMER	G2R0Y-10		tRNA (cytidine(34)-2'-O)-methyltransferase	
G2R0Y-5439-MONOMER	G2R0Y-5439		Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex	
G2R0Y-11-MONOMER	G2R0Y-11		ATP-dependent DNA helicase Rep	
G2R0Y-5440-MONOMER	G2R0Y-5440		Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex	
G2R0Y-12-MONOMER	G2R0Y-12		ATP-dependent DNA helicase Rep	
G2R0Y-5441-MONOMER	G2R0Y-5441		Pyruvate dehydrogenase E1 component	
G2R0Y-13-MONOMER	G2R0Y-13		ATP-dependent DNA helicase Rep	
G2R0Y-5442-MONOMER	G2R0Y-5442		Pyruvate dehydrogenase E1 component	
G2R0Y-14-MONOMER	G2R0Y-14		ATP-dependent DNA helicase Rep	
G2R0Y-5443-MONOMER	G2R0Y-5443		1,6-anhydro-N-acetylmuramyl-L-alanine amidase	
G2R0Y-15-MONOMER	G2R0Y-15		ATP-dependent DNA helicase Rep	
G2R0Y-5444-MONOMER	G2R0Y-5444		1,6-anhydro-N-acetylmuramyl-L-alanine amidase	
G2R0Y-16-MONOMER	G2R0Y-16		ATP-dependent DNA helicase Rep	
